iReady_Index,iReady_Admin,Tier_Level,Tier_Level_Count,Total,Percentage
1.0,iReady 1,Tier 1,225,1009,0.22
1.1,iReady 2,Tier 1,363,1034,0.35
1.2,iReady 3,Tier 1,463,1049,0.44
1.3,iReady 1,Tier 2,337,1009,0.33
1.4,iReady 2,Tier 2,343,1034,0.33
1.5,iReady 3,Tier 2,300,1049,0.29
1.6,iReady 1,Tier 3,447,1009,0.44
1.7,iReady 2,Tier 3,328,1034,0.32
1.8,iReady 3,Tier 3,286,1049,0.27
